Date,Open,High,Low,Close,Volume,ROC,Net Change,SMA(20),SMA(50),SMA(200),EMA(20),EMA(50),EMA(200),WMA(20),WMA(50),WMA(200),RSI(14),RSI_MA(14),"MACD(12,26)",MACD_Signal(9),"MACD_Diff(12,26,9)",BB_Hband,BB_Mband,BB_Lband,BB_WBand
2014-08-04,28.79,29.16,28.58,29.08,30.388,,1.0,29.16,29.24,27.66,29.22,29.15,27.66,29.27,29.21,27.33,49.65,47.34,-0.13,-0.06,-0.07,29.93,29.16,28.39,5.28
2014-08-05,28.94,28.98,28.48,28.62,32.876,-1.57,-1.08,29.17,29.21,27.65,29.24,29.08,27.66,29.3,29.14,27.33,40.72,47.76,-0.16,-0.05,-0.11,29.95,29.17,28.4,5.32
2014-08-06,28.44,28.9,28.34,28.69,26.456,0.24,0.88,29.21,29.18,27.64,29.26,29.0,27.66,29.32,29.05,27.33,41.77,48.72,-0.14,-0.02,-0.12,29.95,29.21,28.47,5.07
2014-08-07,28.77,28.88,28.44,28.56,23.26,-0.47,-0.74,29.26,29.14,27.64,29.29,28.91,27.66,29.36,28.96,27.33,39.07,49.48,-0.11,0.01,-0.12,29.98,29.26,28.54,4.92
2014-08-08,28.57,28.94,28.42,28.86,29.866,1.07,1.03,29.32,29.09,27.63,29.35,28.8,27.65,29.42,28.84,27.32,43.38,50.16,-0.07,0.04,-0.11,30.01,29.32,28.64,4.69
2014-08-11,28.92,28.95,28.73,28.83,24.068,-0.12,-0.3,29.38,29.04,27.63,29.41,28.71,27.65,29.49,28.75,27.33,42.79,50.37,-0.05,0.07,-0.12,30.11,29.38,28.66,4.91
2014-08-12,28.72,28.76,28.46,28.57,27.89,-0.89,-0.5,29.42,29.0,27.62,29.43,28.64,27.66,29.5,28.66,27.33,37.6,50.73,-0.01,0.1,-0.11,30.1,29.42,28.74,4.61
2014-08-13,28.79,29.27,28.73,29.19,37.988,2.17,1.41,29.47,28.97,27.62,29.45,28.58,27.65,29.52,28.59,27.32,47.06,51.78,0.06,0.13,-0.07,30.03,29.47,28.91,3.8
2014-08-14,29.3,29.36,29.01,29.2,25.458,0.02,-0.35,29.49,28.94,27.61,29.45,28.55,27.65,29.53,28.53,27.32,47.24,52.2,0.08,0.15,-0.06,30.03,29.49,28.95,3.69
2014-08-15,29.34,29.44,29.0,29.15,34.468,-0.16,-0.65,29.49,28.91,27.6,29.43,28.5,27.65,29.5,28.47,27.32,46.3,52.79,0.11,0.16,-0.05,30.03,29.49,28.95,3.68
2014-08-18,29.32,29.72,29.29,29.6,29.32,1.54,0.95,29.49,28.87,27.59,29.39,28.46,27.65,29.46,28.42,27.32,54.44,53.69,0.16,0.17,-0.01,30.04,29.49,28.93,3.78
2014-08-19,29.75,29.86,29.69,29.82,20.864,0.74,0.26,29.48,28.84,27.58,29.4,28.44,27.65,29.45,28.38,27.32,59.16,54.24,0.16,0.18,-0.01,30.03,29.48,28.92,3.77
2014-08-20,29.81,29.82,29.62,29.74,19.346,-0.28,-0.26,29.47,28.8,27.57,29.42,28.42,27.65,29.47,28.34,27.32,57.92,54.08,0.15,0.18,-0.03,30.01,29.47,28.93,3.65
2014-08-21,29.71,29.73,29.52,29.59,22.64,-0.5,-0.42,29.47,28.77,27.56,29.46,28.4,27.64,29.5,28.31,27.32,55.59,54.09,0.14,0.19,-0.05,30.02,29.47,28.92,3.72
2014-08-22,29.63,29.72,29.46,29.59,17.544,0.02,-0.12,29.5,28.74,27.54,29.53,28.4,27.64,29.57,28.29,27.31,55.59,54.18,0.13,0.2,-0.07,30.15,29.5,28.86,4.35
2014-08-25,29.7,29.74,29.43,29.49,25.912,-0.33,-0.71,29.52,28.71,27.53,29.56,28.39,27.64,29.61,28.27,27.31,54.13,54.03,0.12,0.21,-0.09,30.17,29.52,28.86,4.45
2014-08-26,29.57,29.57,29.34,29.37,29.434,-0.41,-0.66,29.52,28.69,27.52,29.56,28.38,27.63,29.61,28.25,27.31,52.39,53.85,0.12,0.24,-0.12,30.17,29.52,28.86,4.45
2014-08-27,29.36,29.43,29.01,29.12,27.292,-0.87,-0.82,29.54,28.66,27.51,29.59,28.36,27.63,29.64,28.21,27.31,48.6,54.13,0.13,0.27,-0.14,30.22,29.54,28.87,4.55
2014-08-28,28.97,29.2,28.86,28.98,28.116,-0.46,0.05,29.55,28.62,27.5,29.55,28.33,27.63,29.61,28.17,27.31,46.38,54.89,0.16,0.3,-0.14,30.21,29.55,28.89,4.47
2014-08-29,29.08,29.11,28.88,29.08,24.122,0.35,0.0,29.57,28.6,27.49,29.54,28.3,27.62,29.59,28.13,27.3,47.75,56.0,0.22,0.34,-0.12,30.18,29.57,28.96,4.15
2014-09-02,29.11,29.43,29.09,29.4,31.66,1.08,0.97,29.58,28.57,27.49,29.52,28.28,27.62,29.57,28.1,27.3,52.33,57.46,0.28,0.37,-0.09,30.16,29.58,29.0,3.92
2014-09-03,29.55,29.69,29.29,29.44,31.58,0.15,-0.37,29.58,28.54,27.48,29.51,28.27,27.62,29.56,28.08,27.3,52.92,58.35,0.31,0.39,-0.07,30.16,29.58,29.0,3.93
2014-09-04,29.57,29.87,29.5,29.62,32.616,0.61,0.17,29.56,28.51,27.47,29.45,28.25,27.62,29.5,28.05,27.31,55.53,59.03,0.35,0.41,-0.05,30.2,29.56,28.92,4.34
2014-09-05,29.72,29.89,29.64,29.85,35.982,0.78,0.45,29.53,28.48,27.46,29.41,28.24,27.63,29.44,28.02,27.31,58.98,59.91,0.38,0.42,-0.04,30.21,29.53,28.84,4.62
2014-09-08,29.92,30.14,29.87,30.05,31.984,0.64,0.42,29.5,28.43,27.45,29.4,28.22,27.63,29.42,28.0,27.32,62.1,60.14,0.38,0.43,-0.05,30.17,29.5,28.82,4.57
2014-09-09,29.98,30.0,29.49,29.56,31.424,-1.61,-1.38,29.46,28.38,27.44,29.4,28.18,27.63,29.41,27.95,27.32,56.91,60.29,0.36,0.44,-0.08,30.09,29.46,28.84,4.25
2014-09-10,29.55,29.65,29.32,29.64,23.202,0.24,0.28,29.42,28.33,27.43,29.33,28.14,27.64,29.33,27.9,27.33,58.12,60.81,0.38,0.46,-0.08,30.13,29.42,28.71,4.85
2014-09-11,29.47,29.56,29.27,29.52,30.028,-0.39,0.19,29.4,28.29,27.42,29.31,28.11,27.64,29.31,27.86,27.33,56.85,61.28,0.39,0.48,-0.09,30.11,29.4,28.68,4.86
2014-09-12,29.49,29.54,29.13,29.21,37.03,-1.05,-0.93,29.34,28.24,27.41,29.23,28.07,27.63,29.22,27.82,27.33,53.46,61.58,0.41,0.5,-0.09,30.15,29.34,28.54,5.51
2014-09-15,29.08,29.16,28.82,29.05,30.908,-0.56,-0.1,29.27,28.2,27.4,29.09,28.04,27.62,29.07,27.78,27.32,51.64,62.18,0.46,0.53,-0.07,30.34,29.27,28.2,7.33
2014-09-16,29.01,29.47,29.01,29.41,31.592,1.23,1.35,29.18,28.16,27.39,28.91,28.01,27.62,28.87,27.75,27.32,56.23,63.17,0.53,0.54,-0.01,30.58,29.18,27.78,9.59
2014-09-17,29.44,29.77,29.32,29.63,34.39,0.77,0.64,29.08,28.13,27.38,28.77,27.99,27.62,28.7,27.72,27.32,59.22,63.9,0.58,0.55,0.03,30.67,29.08,27.49,10.96
2014-09-18,29.72,29.84,29.62,29.83,29.89,0.67,0.37,28.95,28.08,27.37,28.6,27.97,27.61,28.51,27.69,27.32,62.01,64.07,0.61,0.54,0.07,30.75,28.95,27.14,12.48
2014-09-19,29.94,30.24,29.85,30.24,83.832,1.36,0.99,28.8,28.03,27.36,28.43,27.94,27.61,28.3,27.66,27.32,68.11,64.5,0.62,0.52,0.1,30.78,28.8,26.82,13.75
2014-09-22,30.09,30.16,29.62,29.83,35.644,-1.34,-0.87,28.59,27.97,27.34,28.21,27.9,27.6,28.05,27.62,27.31,64.9,64.15,0.58,0.5,0.08,30.77,28.59,26.41,15.27
