Date,Ref No,Trans Description,Setl No,Buy/Cr,Sell/Dr,Balance
ISIN: INE423A01024,ISIN Name: ADANI ENTERPR RS.1/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-04-24 00:00:00,109305,CREDIT On Market 1208870000010189,,1.0,,1.0
2024-05-27 00:00:00,597026,CREDIT On Market 1208870000010189,,1.0,,2.0
2024-06-04 00:00:00,193041,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-06-05 00:00:00,1268627,CREDIT On Market 1100001100021102,1211232024104.0,2.0,,5.0
2024-06-05 00:00:00,1268627,DEBIT On Market 1100001100021102,1211232024104.0,,2.0,3.0
2024-06-06 00:00:00,434355,CREDIT On Market 1208870000010189,,2.0,,5.0
2024-06-21 00:00:00,38445915,DEBIT On Market 1100001100021102,1211232024116.0,,1.0,4.0
2024-06-24 00:00:00,38445915,DEBIT On Market 1100001100021102,1211232024116.0,,1.0,3.0
2024-06-24 00:00:00,38445915,CREDIT On Market 1100001100021102,1211232024116.0,1.0,,4.0
2024-07-30 00:00:00,504476,CREDIT On Market 1208870000010189,,1.0,,5.0
2024-08-02 00:00:00,307003,CREDIT On Market 1208870000010189,,2.0,,7.0
2024-08-12 00:00:00,43510003,DEBIT On Market 1100001100021102,1211232024151.0,,2.0,5.0
2024-08-13 00:00:00,43510003,DEBIT On Market 1100001100021102,1211232024151.0,,2.0,3.0
2024-08-13 00:00:00,43510003,CREDIT On Market 1100001100021102,1211232024151.0,2.0,,5.0
2024-11-27 00:00:00,,Closing Balance,,,,3.0
ISIN: INE364U01010,ISIN Name: ADANI GREEN ENERG-EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-04-24 00:00:00,109256,CREDIT On Market 1208870000010189,,2.0,,2.0
2024-06-05 00:00:00,770872,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-06-06 00:00:00,434282,CREDIT On Market 1208870000010189,,2.0,,5.0
2024-06-19 00:00:00,33075097,DEBIT On Market 1100001100021102,1211232024114.0,,3.0,2.0
2024-06-20 00:00:00,33075097,DEBIT On Market 1100001100021102,1211232024114.0,,3.0,-1.0
2024-06-20 00:00:00,33075097,CREDIT On Market 1100001100021102,1211232024114.0,3.0,,2.0
2024-07-30 00:00:00,504294,CREDIT On Market 1208870000010189,,2.0,,4.0
2024-08-14 00:00:00,926053,CREDIT On Market 1208870000010189,,1.0,,5.0
2024-11-27 00:00:00,,Closing Balance,,,,5.0
ISIN: INE742F01042,ISIN Name: ADANI PORTS -EQ 2/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-04-24 00:00:00,109353,CREDIT On Market 1208870000010189,,2.0,,2.0
2024-06-25 00:00:00,337043,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-07-30 00:00:00,19238822,DEBIT On Market 1100001100021102,1211232024142.0,,1.0,2.0
2024-07-31 00:00:00,19238822,DEBIT On Market 1100001100021102,1211232024142.0,,1.0,1.0
2024-07-31 00:00:00,19238822,CREDIT On Market 1100001100021102,1211232024142.0,1.0,,2.0
2024-08-01 00:00:00,481983,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-08-02 00:00:00,514381,CREDIT On Market 1208870000010189,,1.0,,4.0
2024-11-27 00:00:00,,Closing Balance,,,,4.0
ISIN: INE814H01011,ISIN Name: ADANI POWER - EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-07 00:00:00,419797,CREDIT On Market 1208870000010189,,2.0,,2.0
2024-06-24 00:00:00,716461,CREDIT On Market 1208870000010189,,3.0,,5.0
2024-06-27 00:00:00,215522,CREDIT On Market 1208870000010189,,2.0,,7.0
2024-07-08 00:00:00,71224412,DEBIT On Market 1100001100021102,1211232024127.0,,2.0,5.0
2024-07-09 00:00:00,71224412,DEBIT On Market 1100001100021102,1211232024127.0,,2.0,3.0
2024-07-09 00:00:00,71224412,CREDIT On Market 1100001100021102,1211232024127.0,2.0,,5.0
2024-07-31 00:00:00,291837,CREDIT On Market 1208870000010189,,5.0,,10.0
2024-08-01 00:00:00,24837608,DEBIT On Market 1100001100021102,1211232024144.0,,5.0,5.0
2024-08-02 00:00:00,24837608,DEBIT On Market 1100001100021102,1211232024144.0,,5.0,0.0
2024-08-02 00:00:00,24837608,CREDIT On Market 1100001100021102,1211232024144.0,5.0,,5.0
2024-11-27 00:00:00,,Closing Balance,,,,5.0
ISIN: INE399L01023,ISIN Name: ADANI TOTAL GA-EQ1/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-07-30 00:00:00,504382,CREDIT On Market 1208870000010189,,3.0,,3.0
2024-11-27 00:00:00,,Closing Balance,,,,3.0
ISIN: INE699H01024,ISIN Name: ADANI WILMAR-EQ1/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-07-09 00:00:00,157647,CREDIT On Market 1208870000010189,,10.0,,10.0
2024-07-18 00:00:00,836509,CREDIT On Market 1208870000010189,,5.0,,15.0
2024-07-25 00:00:00,9133312,DEBIT On Market 1100001100021102,1211232024139.0,,5.0,10.0
2024-07-26 00:00:00,9133312,CREDIT On Market 1100001100021102,1211232024139.0,5.0,,15.0
2024-07-26 00:00:00,9133312,DEBIT On Market 1100001100021102,1211232024139.0,,5.0,10.0
2024-07-29 00:00:00,17285081,CREDIT On Market 1100001100021102,1211232024141.0,5.0,,15.0
2024-07-29 00:00:00,17285081,DEBIT On Market 1100001100021102,1211232024141.0,,5.0,10.0
2024-07-30 00:00:00,504742,CREDIT On Market 1208870000010189,,5.0,,15.0
2024-08-02 00:00:00,27769399,DEBIT On Market 1100001100021102,1211232024145.0,,5.0,10.0
2024-08-05 00:00:00,27769399,DEBIT On Market 1100001100021102,1211232024145.0,,5.0,5.0
2024-08-05 00:00:00,27769399,CREDIT On Market 1100001100021102,1211232024145.0,5.0,,10.0
2024-08-12 00:00:00,43698969,DEBIT On Market 1100001100021102,1211232024151.0,,7.0,3.0
2024-08-13 00:00:00,43698969,CREDIT On Market 1100001100021102,1211232024151.0,7.0,,10.0
2024-08-13 00:00:00,43698969,DEBIT On Market 1100001100021102,1211232024151.0,,7.0,3.0
2024-08-14 00:00:00,998825,CREDIT On Market 1208870000010189,,2.0,,5.0
2024-08-29 00:00:00,76161250,DEBIT On Market 1100001100021102,1211232024163.0,,5.0,0.0
2024-08-30 00:00:00,76161250,CREDIT On Market 1100001100021102,1211232024163.0,5.0,,5.0
2024-08-30 00:00:00,76161250,DEBIT On Market 1100001100021102,1211232024163.0,,5.0,0.0
2024-11-27 00:00:00,,Closing Balance,,,,0.0
ISIN: INE885A01032,ISIN Name: AMARA RAJA EQ 1/-,,,,,
