,index,1. open,2. high,3. low,4. close,5. volume
0,2024-08-02,166.4400,168.5100,164.6700,166.6600,29130102
1,2024-08-01,170.2500,174.0500,168.8800,170.7600,24531392
2,2024-07-31,173.2400,174.2450,170.0100,171.5400,25729090
3,2024-07-30,170.2400,171.2299,168.4400,170.2900,18959686
4,2024-07-29,168.8300,170.4300,167.9900,169.5300,20293822
5,2024-07-26,167.1500,168.0900,164.0600,167.0000,41336886
6,2024-07-25,172.5200,173.4200,167.1900,167.2800,44851973
7,2024-07-24,173.6000,176.1900,171.8200,172.6300,49585203
8,2024-07-23,182.0500,183.6100,181.5400,181.7900,36352714
9,2024-07-22,180.5900,182.7000,180.2300,181.6700,24100345
10,2024-07-19,178.8800,180.2900,177.1300,177.6600,18881885
11,2024-07-18,181.9300,182.5000,176.4700,177.6900,25315727
12,2024-07-17,182.9650,183.5500,179.9000,181.0200,20734071
13,2024-07-16,187.3600,188.6800,183.3736,183.9200,18290722
14,2024-07-15,184.9200,188.2400,184.9200,186.5300,16474043
15,2024-07-12,185.0800,187.1100,184.4900,185.0700,22898406
16,2024-07-11,189.8450,190.8600,185.0800,185.5700,25625784
17,2024-07-10,189.1500,191.7500,189.0300,191.1800,15952454
18,2024-07-09,190.3100,191.3600,188.7200,188.9800,15141312
19,2024-07-08,189.8950,190.1700,187.7800,189.0300,21035886
20,2024-07-05,185.8550,190.8600,185.8000,190.6000,20967450
21,2024-07-03,184.8500,186.0900,184.0000,185.8200,10242126
22,2024-07-02,182.0500,185.5700,181.5600,185.2400,17372485
23,2024-07-01,183.0300,183.8800,181.3000,182.9900,16006128
24,2024-06-28,184.3200,185.1300,181.9600,182.1500,29156644
25,2024-06-27,184.1800,186.0500,184.0200,185.4100,18848884
26,2024-06-26,182.6300,184.5100,182.4800,183.8800,19838972
27,2024-06-25,179.6200,184.2900,179.4200,184.0300,23235589
28,2024-06-24,180.1600,180.8900,178.6700,179.2200,18298012
29,2024-06-21,177.0000,180.8500,176.6100,179.6300,58582743
30,2024-06-20,175.3700,177.2900,174.9900,176.3000,20160085
31,2024-06-18,177.1400,177.3850,174.1042,175.0900,21869857
32,2024-06-17,175.4600,178.3600,174.8100,177.2400,19618497
33,2024-06-14,174.2200,177.0623,174.1500,176.7900,18063555
34,2024-06-13,176.1100,176.7400,174.8800,175.1600,20913299
35,2024-06-12,178.2500,180.4100,176.1100,177.7900,27864737
36,2024-06-11,176.2200,176.8400,173.7701,176.6200,21540582
37,2024-06-10,174.9700,177.0600,172.7600,175.0100,23779218
38,2024-06-07,177.0500,177.8700,174.3000,174.4600,19661399
39,2024-06-06,175.8950,177.1500,175.7500,176.7300,23251013
40,2024-06-05,175.2000,176.6450,173.9339,175.4100,22068519
41,2024-06-04,173.2800,173.8450,171.8900,173.7900,26879596
42,2024-06-03,172.5400,174.5250,171.1600,173.1700,27459118
43,2024-05-31,171.8600,173.0600,169.4400,172.5000,37638876
44,2024-05-30,175.2000,175.2200,171.7900,172.1100,22958677
45,2024-05-29,175.4300,176.8360,174.7200,175.9000,23388693
46,2024-05-28,174.4500,177.2700,174.3650,176.4000,20572157
47,2024-05-24,174.9800,175.7700,173.6500,174.9900,16579438
48,2024-05-23,177.0700,178.2500,172.9500,173.5500,21024935
49,2024-05-22,176.6440,177.1500,175.2100,176.3800,17880042
50,2024-05-21,176.9000,178.1500,175.8100,177.8500,16989369
51,2024-05-20,176.1920,178.7700,176.0800,176.9200,22554400
52,2024-05-17,174.1800,176.2650,173.6900,176.0600,24479262
53,2024-05-16,173.2900,175.1150,172.6900,174.1800,27867947
